top - 00:45:01 up 53 min,  1 user,  load average: 7.38, 4.46, 3.52
Tasks: 186 total,   1 running, 185 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.6 us, 22.2 sy,  0.0 ni, 38.9 id, 22.2 wa,  0.0 hi, 11.1 si,  0.0 st 
MiB Mem :   3916.6 total,   2179.3 free,   1778.3 used,    149.1 buff/cache     
MiB Swap:   2048.0 total,   1391.3 free,    656.7 used.   2138.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  23318 monitor   20   0    8580   1960   1960 S   0.0   0.0   0:00.00 xargs
  23319 monitor   20   0    9940   3508   3252 S   0.0   0.1   0:00.00 bash
  23320 monitor   20   0    9940   3572   3316 S   0.0   0.1   0:00.00 bash
  23322 monitor   20   0    9940   3552   3296 S   0.0   0.1   0:00.00 bash
  23323 monitor   20   0 1701684  28604  20668 S   0.0   0.7   0:00.02 docker
  23324 monitor   20   0 1701428  28864  20800 S   0.0   0.7   0:00.01 docker
  23332 monitor   20   0    9940   3568   3312 S   0.0   0.1   0:00.00 bash
  23333 monitor   20   0 1701428  28776  20712 S   0.0   0.7   0:00.01 docker
  23334 monitor   20   0    9940   3548   3292 S   0.0   0.1   0:00.00 bash
  23336 monitor   20   0    9940   3552   3296 S   0.0   0.1   0:00.00 bash
  23337 monitor   20   0 1701428  28672  20608 S   0.0   0.7   0:00.01 docker
  23341 monitor   20   0    9940   3544   3288 S   0.0   0.1   0:00.00 bash
  23342 monitor   20   0    9940   3568   3312 S   0.0   0.1   0:00.00 bash
  23343 monitor   20   0 1701684  29004  20940 S   0.0   0.7   0:00.01 docker
  23344 monitor   20   0    9940   3548   3292 S   0.0   0.1   0:00.00 bash
  23351 monitor   20   0 1701684  28940  20876 S   0.0   0.7   0:00.01 docker
  23352 monitor   20   0 1701428  28932  20996 S   0.0   0.7   0:00.00 docker
  23353 monitor   20   0 1701428  28792  20728 S   0.0   0.7   0:00.57 docker
  23355 monitor   20   0    9940   3488   3360 S   0.0   0.1   0:00.00 bash
  23403 monitor   20   0 1775416  28696  20632 S   0.0   0.7   0:00.01 docker
  23422 root      20   0   43700   8956   7292 S   0.0   0.2   0:00.02 mariadb
  23456 root      20   0   43700   9100   7436 S   0.0   0.2   0:00.01 mariadb
  23467 root      20   0   43700   9100   7436 S   0.0   0.2   0:00.01 mariadb
  23488 root      20   0   43700   9080   7416 S   0.0   0.2   0:00.03 mariadb
  23520 root      20   0   43700   9248   7584 S   0.0   0.2   0:00.01 mariadb
  23530 root      20   0   43700   9064   7400 S   0.0   0.2   0:00.00 mariadb
  23563 root      20   0   43700   9108   7444 S   0.0   0.2   0:00.01 mariadb
  23570 root      20   0   43700   9108   7444 S   0.0   0.2   0:00.01 mariadb
  23578 root      20   0   43700   9100   7436 S   0.0   0.2   0:00.01 mariadb

top - 00:45:17 up 54 min,  1 user,  load average: 6.43, 4.45, 3.53
Tasks: 213 total,   7 running, 206 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37.5 us, 62.5 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3916.6 total,    733.6 free,   3210.1 used,    177.0 buff/cache     
MiB Swap:   2048.0 total,   1429.0 free,    619.0 used.    706.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   5444 root      20   0   12.5g   2.6g  10316 S 111.9  69.3  14:24.55 PrimProc
   1547 root      20   0 2531992  48180  21732 S   5.1   1.2   1:32.60 dockerd
   4476 root      20   0 1238360  10888   5224 S   1.7   0.3   0:37.17 contain+
   6394 monitor   20   0   14496   3808   3168 R   0.8   0.1   1:33.07 top
  23241 monitor   20   0   14496   5520   3472 R   0.8   0.1   0:00.18 top
      1 root      20   0   22648   9072   6000 S   0.0   0.2   0:14.55 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:03.40 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:02.62 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.28 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:06.98 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:00.57 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:09.63 ksoftir+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     31 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.72 khungta+
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     38 root      20   0       0      0      0 S   0.0   0.0   0:07.15 kcompac+
     39 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     40 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     46 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     54 root      20   0       0      0      0 S   0.0   0.0   0:23.60 kswapd0
     55 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     58 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.06 scsi_eh+
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     62 root      20   0       0      0      0 I   0.0   0.0   0:11.46 kworker+
     64 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     65 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     74 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    138 root      20   0       0      0      0 S   0.0   0.0   0:00.06 scsi_eh+
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    183 root      20   0       0      0      0 S   0.0   0.0   0:07.83 jbd2/sd+
    184 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    229 root      19  -1   66972  10676  10164 S   0.0   0.3   0:01.77 systemd+
    289 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/18-+
    290 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    293 root      20   0   30204   3856   3728 S   0.0   0.1   0:00.31 systemd+
    332 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    407 systemd+  20   0   22340   6052   5540 S   0.0   0.2   0:01.68 systemd+
    412 systemd+  20   0   91048   5200   5072 S   0.0   0.1   0:01.70 systemd+
    558 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    655 root      20   0  313288   6308   5924 S   0.0   0.2   0:06.08 account+
    658 avahi     20   0    8612   3764   3508 S   0.0   0.1   0:03.51 avahi-d+
    659 root      20   0    9424   2648   2648 S   0.0   0.1   0:00.99 cron
    660 message+  20   0   10944   5296   3888 S   0.0   0.1   0:02.79 dbus-da+
    667 polkitd   20   0  384340   6260   5624 S   0.0   0.2   0:09.01 polkitd
    675 root      20   0   18128   5624   5240 S   0.0   0.1   0:00.34 systemd+
    676 root      20   0  469244   7092   6708 S   0.0   0.2   0:01.40 udisksd
    688 avahi     20   0    8424    972    836 S   0.0   0.0   0:00.00 avahi-d+
    749 root      20   0  336408  10776   9752 S   0.0   0.3   0:03.93 Network+
    752 root      20   0   17380   3904   3776 S   0.0   0.1   0:00.04 wpa_sup+
    764 root      20   0  392092   6156   5772 S   0.0   0.2   0:00.17 ModemMa+
    787 syslog    20   0  222508   3828   3316 S   0.0   0.1   0:00.21 rsyslogd
    896 root      20   0  112256   5004   4876 S   0.0   0.1   0:00.05 unatten+
    905 root      20   0 1876272  22688  10068 S   0.0   0.6   1:23.10 contain+
    909 root      20   0  380084   5428   5300 S   0.0   0.1   0:00.05 lightdm
    928 root      20   0  332224  43380   8148 S   0.0   1.1   4:00.14 Xorg
    945 root      20   0    8704   1760   1760 S   0.0   0.0   0:00.00 agetty
   1068 rtkit     21   1   88476   3148   3020 S   0.0   0.1   0:00.47 rtkit-d+
   1147 root      20   0  234536   5284   5156 S   0.0   0.1   0:00.01 lightdm
   1164 monitor   20   0   20548   6464   5824 S   0.0   0.2   0:00.26 systemd
   1165 monitor   20   0   21184   1656   1456 S   0.0   0.0   0:00.00 (sd-pam)
   1174 monitor   20   0  118580   4768   4512 S   0.0   0.1   0:00.05 pipewire
   1175 monitor   20   0   97736   3804   3804 S   0.0   0.1   0:00.00 pipewire
   1177 monitor   20   0  402824   6524   6396 S   0.0   0.2   0:00.03 wireplu+
   1178 monitor   20   0  109660   5600   5472 S   0.0   0.1   0:00.01 pipewir+
   1180 monitor   20   0  316508   7044   6660 S   0.0   0.2   0:00.13 gnome-k+
   1181 monitor   20   0   10004   4568   3800 S   0.0   0.1   0:01.68 dbus-da+
   1205 monitor   20   0  340572   8140   7208 S   0.0   0.2   0:03.35 xfce4-s+
   1283 monitor   20   0  382828   5852   5724 S   0.0   0.1   0:00.04 at-spi-+
   1290 monitor   20   0    9556   4132   3748 S   0.0   0.1   0:01.01 dbus-da+
   1295 monitor   20   0  309792   5352   4968 S   0.0   0.1   0:02.21 xfconfd
   1301 monitor   20   0  236016   5896   5512 S   0.0   0.1   0:03.34 at-spi2+
   1310 monitor   20   0  956288  11604   9008 S   0.0   0.3   0:35.93 xfwm4
   1314 monitor   20   0  314160   5916   5660 S   0.0   0.1   0:00.09 gvfsd
   1327 monitor   20   0  305124   8772   7572 S   0.0   0.2   0:03.26 xfsetti+
   1331 root      20   0  316656   6160   6032 S   0.0   0.2   0:00.05 upowerd
   1337 monitor   20   0  960244  17288  12280 S   0.0   0.4   0:15.61 xfce4-p+
   1342 monitor   20   0  539268  12588  10536 S   0.0   0.3   0:39.62 Thunar
   1348 monitor   20   0  424372  13256   9884 S   0.0   0.3   0:02.43 xfdeskt+
   1352 monitor   20   0  462760  13272  10204 S   0.0   0.3   0:12.69 panel-1+
   1356 monitor   20   0  460784  10440   8988 S   0.0   0.3   0:01.18 panel-5+
   1357 monitor   20   0  461044   9724   8620 S   0.0   0.2   0:01.34 panel-6+
   1358 monitor   20   0  339816   9788   8664 S   0.0   0.2   0:00.73 panel-7+
   1359 monitor   20   0  387856  10256   8892 S   0.0   0.3   0:01.95 panel-8+
   1360 monitor   20   0  457032  10020   8752 S   0.0   0.2   0:00.83 panel-9+
   1380 monitor   20   0   12764   1792   1652 S   0.0   0.0   0:04.08 xcape
   1389 monitor   20   0  418848  10184   9040 S   0.0   0.3   0:02.27 xfce4-n+
   1402 monitor   20   0  303496  12392   9856 S   0.0   0.3   0:03.15 xfce4-s+
   1405 monitor   20   0  260092   7068   6684 S   0.0   0.2   0:01.43 polkit-+
   1415 monitor   20   0  922032   5068   4940 S   0.0   0.1   0:00.03 xiccd
   1427 monitor   20   0  260988   7680   6912 S   0.0   0.2   0:02.05 xfce4-p+
   1435 colord    20   0  320072   6408   6280 S   0.0   0.2   0:00.07 colord
   1436 monitor   20   0  499228   9488   8784 S   0.0   0.2   0:03.67 nm-appl+
   1440 monitor   20   0  328368   5988   5732 S   0.0   0.1   0:00.04 ayatana+
   1441 monitor   20   0  389076   6596   6084 S   0.0   0.2   0:00.08 gvfs-ud+
   1500 monitor   20   0  535708   6560   5664 S   0.0   0.2   0:00.47 gvfsd-t+
   1549 kernoops  20   0   12744   1876   1728 S   0.0   0.0   0:00.00 kernelo+
   1552 kernoops  20   0   12744   2076   1812 S   0.0   0.1   0:00.33 kernelo+
   1579 root      20   0       0      0      0 I   0.0   0.0   0:13.35 kworker+
   1821 monitor   20   0  611324   6272   5760 S   0.0   0.2   0:00.22 xdg-doc+
   1825 monitor   20   0  309308   5016   4888 S   0.0   0.1   0:00.00 xdg-per+
   1832 root      20   0    2704   1932   1932 S   0.0   0.0   0:00.00 fusermo+
   1910 monitor   20   0  472388  16668  12164 S   0.0   0.4   0:27.26 xfce4-t+
   1916 monitor   20   0   11372   3992   3480 S   0.0   0.1   0:03.95 bash
   1943 monitor   20   0  236304   5284   5028 S   0.0   0.1   0:00.19 gvfsd-m+
   1981 monitor   20   0  489772   9752   8988 S   0.0   0.2   0:00.25 xdg-des+
   1988 monitor   20   0  760228  15804   9628 S   0.0   0.4   0:07.60 xdg-des+
   2106 monitor   20   0 1765816   6840   2116 S   0.0   0.2   0:04.03 snap
   2471 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   2513 root      20   0 1849620  12300   3944 S   0.0   0.3   0:09.37 snapd
   2804 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4026 monitor   20   0  230236   4748   4492 S   0.0   0.1   0:00.38 dconf-s+
   4498 root      20   0    4380   1000   1000 R   0.0   0.0   0:03.56 tini
   4522 root      20   0 1671452   1820   1692 S   0.0   0.0   0:00.80 docker-+
   4529 root      20   0 1597464   1892   1764 S   0.0   0.0   0:00.08 docker-+
   4542 root      20   0   14856   1524   1396 S   0.0   0.0   0:00.00 docker-+
   4546 root      20   0  197276   2260   1684 S   0.0   0.1   0:04.42 rsyslogd
   4548 root      20   0   14856   1592   1464 S   0.0   0.0   0:00.00 bash
   4731 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4966 root      20   0 1136656   5024   2908 R   0.0   0.1   2:05.47 python3
   5004 root      20   0   15120   1656   1528 S   0.0   0.0   0:00.01 mysqld_+
   5120 systemd+  20   0 1729248  27180  13448 S   0.0   0.7   1:19.88 mariadbd
   5218 root      20   0   26000   1332   1332 R   0.0   0.0   0:03.13 tail
   5371 root      20   0  120776   1916   1712 S   0.0   0.0   0:05.41 Storage+
   5392 root      20   0  224324   2896   2588 R   0.0   0.1   0:03.45 workern+
   5437 root      20   0  377464   5292   3636 S   0.0   0.1   0:27.11 control+
   5464 root      20   0  540468   3660   3332 S   0.0   0.1   0:01.97 WriteEn+
   5513 root      20   0  384016   3228   3004 S   0.0   0.1   0:03.20 DDLProc
   5517 root      20   0  392296   3720   3048 R   0.0   0.1   0:16.88 DMLProc
   6180 root      20   0   38204   6736   6480 S   0.0   0.2   0:00.61 cupsd
   6182 cups-br+  20   0  268352  10148   8228 S   0.0   0.3   0:00.05 cups-br+
   6395 monitor   20   0    8332   2148   2148 S   0.0   0.1   0:51.94 iostat
   7125 root      20   0       0      0      0 I   0.0   0.0   0:01.08 kworker+
   8515 root      20   0       0      0      0 I   0.0   0.0   0:01.78 kworker+
   9058 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker+
   9063 root       0 -20       0      0      0 I   0.0   0.0   0:03.08 kworker+
   9188 root      20   0       0      0      0 I   0.0   0.0   1:18.27 kworker+
   9209 root      20   0       0      0      0 I   0.0   0.0   0:08.18 kworker+
  17125 root      20   0       0      0      0 I   0.0   0.0   0:18.86 kworker+
  17226 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker+
  17786 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  18002 root      20   0       0      0      0 I   0.0   0.0   0:01.82 kworker+
  18074 root      20   0       0      0      0 I   0.0   0.0   0:32.59 kworker+
  18538 root       0 -20       0      0      0 I   0.0   0.0   0:01.04 kworker+
  19061 root      20   0       0      0      0 I   0.0   0.0   0:00.80 kworker+
  19982 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  21393 root      20   0  467268  15028   9888 S   0.0   0.4   0:03.15 fwupd
  21404 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  23228 monitor   20   0    9940   3580   3324 S   0.0   0.1   0:00.01 test.sh
  23242 monitor   20   0    8332   2276   2148 S   0.0   0.1   0:01.52 iostat
  23316 monitor   20   0    9940   1788   1620 S   0.0   0.0   0:00.00 test.sh
  23318 monitor   20   0    8580   1960   1960 S   0.0   0.0   0:00.00 xargs
  23320 monitor   20   0    9940   3572   3316 S   0.0   0.1   0:00.00 bash
  23322 monitor   20   0    9940   3552   3296 S   0.0   0.1   0:00.00 bash
  23323 monitor   20   0 1701684  28604  20668 S   0.0   0.7   0:00.02 docker
  23324 monitor   20   0 1701428  28864  20800 S   0.0   0.7   0:00.01 docker
  23332 monitor   20   0    9940   3568   3312 S   0.0   0.1   0:00.00 bash
  23333 monitor   20   0 1701428  28776  20712 S   0.0   0.7   0:00.01 docker
  23334 monitor   20   0    9940   3548   3292 S   0.0   0.1   0:00.00 bash
  23336 monitor   20   0    9940   3552   3296 S   0.0   0.1   0:00.00 bash
  23337 monitor   20   0 1701428  28672  20608 S   0.0   0.7   0:00.01 docker
  23341 monitor   20   0    9940   3544   3288 S   0.0   0.1   0:00.00 bash
  23342 monitor   20   0    9940   3568   3312 S   0.0   0.1   0:00.00 bash
  23343 monitor   20   0 1701684  29004  20940 S   0.0   0.7   0:00.01 docker
  23344 monitor   20   0    9940   3548   3292 S   0.0   0.1   0:00.00 bash
  23351 monitor   20   0 1701684  28940  20876 S   0.0   0.7   0:00.01 docker
  23352 monitor   20   0 1701428  28932  20996 S   0.0   0.7   0:00.00 docker
  23353 monitor   20   0 1701428  28792  20728 S   0.0   0.7   0:00.57 docker
  23355 monitor   20   0    9940   3488   3360 S   0.0   0.1   0:00.00 bash
  23403 monitor   20   0 1775416  28696  20632 S   0.0   0.7   0:00.01 docker
  23422 root      20   0   43700   8956   7292 S   0.0   0.2   0:00.02 mariadb
  23456 root      20   0   43700   9100   7436 S   0.0   0.2   0:00.01 mariadb
  23467 root      20   0   43700   9100   7436 S   0.0   0.2   0:00.01 mariadb
  23488 root      20   0   43700   9080   7416 S   0.0   0.2   0:00.03 mariadb
  23520 root      20   0   43700   9248   7584 S   0.0   0.2   0:00.01 mariadb
  23530 root      20   0   43700   9064   7400 S   0.0   0.2   0:00.00 mariadb
  23563 root      20   0   43700   9108   7444 S   0.0   0.2   0:00.01 mariadb
  23570 root      20   0   43700   9108   7444 S   0.0   0.2   0:00.01 mariadb
  23578 root      20   0   43700   9100   7436 S   0.0   0.2   0:00.01 mariadb

top - 00:45:18 up 54 min,  1 user,  load average: 6.43, 4.45, 3.53
Tasks: 210 total,   6 running, 204 sleeping,   0 stopped,   0 zombie
%Cpu(s): 18.2 us, 23.6 sy,  0.0 ni, 47.3 id,  0.0 wa,  0.0 hi, 10.9 si,  0.0 st 
MiB Mem :   3916.6 total,    733.6 free,   3210.1 used,    177.0 buff/cache     
MiB Swap:   2048.0 total,   1429.0 free,    619.0 used.    706.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   5444 root      20   0   12.5g   2.6g  10316 S 107.9  67.1  14:25.64 PrimProc
   5120 systemd+  20   0 1729248  28588  13448 S  21.8   0.7   1:20.10 mariadbd
   1547 root      20   0 2531992  48308  21732 S  10.9   1.2   1:32.71 dockerd
   4476 root      20   0 1238360  10888   5224 S   2.0   0.3   0:37.19 contain+
   4546 root      20   0  197276   2260   1684 S   1.0   0.1   0:04.43 rsyslogd
      1 root      20   0   22648   9072   6000 S   0.0   0.2   0:14.55 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:03.40 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:02.62 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.28 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:06.98 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:00.57 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:09.63 ksoftir+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     31 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.72 khungta+
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     38 root      20   0       0      0      0 S   0.0   0.0   0:07.15 kcompac+
     39 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     40 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     46 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     54 root      20   0       0      0      0 S   0.0   0.0   0:23.60 kswapd0
     55 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     58 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.06 scsi_eh+
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     62 root      20   0       0      0      0 I   0.0   0.0   0:11.46 kworker+
     64 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     65 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     74 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    138 root      20   0       0      0      0 S   0.0   0.0   0:00.06 scsi_eh+
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    183 root      20   0       0      0      0 S   0.0   0.0   0:07.83 jbd2/sd+
    184 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    229 root      19  -1   66972  10676  10164 S   0.0   0.3   0:01.77 systemd+
    289 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/18-+
    290 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    293 root      20   0   30204   3856   3728 S   0.0   0.1   0:00.31 systemd+
    332 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    407 systemd+  20   0   22340   6052   5540 S   0.0   0.2   0:01.68 systemd+
    412 systemd+  20   0   91048   5200   5072 S   0.0   0.1   0:01.70 systemd+
    558 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    655 root      20   0  313288   6308   5924 S   0.0   0.2   0:06.08 account+
    658 avahi     20   0    8612   3764   3508 S   0.0   0.1   0:03.51 avahi-d+
    659 root      20   0    9424   2648   2648 S   0.0   0.1   0:00.99 cron
    660 message+  20   0   10944   5296   3888 S   0.0   0.1   0:02.79 dbus-da+
    667 polkitd   20   0  384340   6260   5624 S   0.0   0.2   0:09.01 polkitd
    675 root      20   0   18128   5624   5240 S   0.0   0.1   0:00.34 systemd+
    676 root      20   0  469244   7092   6708 S   0.0   0.2   0:01.40 udisksd
    688 avahi     20   0    8424    972    836 S   0.0   0.0   0:00.00 avahi-d+
    749 root      20   0  336408  10776   9752 S   0.0   0.3   0:03.93 Network+
    752 root      20   0   17380   3904   3776 S   0.0   0.1   0:00.04 wpa_sup+
    764 root      20   0  392092   6156   5772 S   0.0   0.2   0:00.17 ModemMa+
    787 syslog    20   0  222508   3828   3316 S   0.0   0.1   0:00.21 rsyslogd
    896 root      20   0  112256   5004   4876 S   0.0   0.1   0:00.05 unatten+
    905 root      20   0 1876272  22688  10068 S   0.0   0.6   1:23.10 contain+
    909 root      20   0  380084   5428   5300 S   0.0   0.1   0:00.05 lightdm
    928 root      20   0  332224  43380   8148 S   0.0   1.1   4:00.14 Xorg
